Genre,N_Movies,Mean_Rating,Dual_Success_Rate,Financial_Success,Critical_Success
Documentary,365,7.23,87.7,100,87.7
Biography,519,6.97,83.4,100,83.4
Animation,378,6.67,67.7,100,67.7
Drama,4417,6.56,63.7,100,63.7
Romance,1210,6.41,56.4,100,56.4
Crime,1450,6.43,56.3,100,56.3
Adventure,1044,6.27,49.9,100,49.9
Comedy,2650,6.22,48.2,100,48.2
Action,1837,6.15,45.8,100,45.8
Family,299,6.11,43.5,100,43.5
Fantasy,491,6.09,41.3,100,41.3
Thriller,1308,6.05,40.4,100,40.4
Mystery,867,6.09,40.1,100,40.1
Sci-Fi,412,5.93,37.6,100,37.6
Horror,1011,5.58,21.5,100,21.5
